id,queue_type,sequence_id,sqs_message_id,sent_timestamp,received_timestamp,latency_ms,created_at,updated_at
33,fifo,33,75a79b06-29a4-40df-a364-a5dda1967d60,1780594596.0244,1780594605.1421,9117.6619529724,2026-06-04 17:36:45,2026-06-04 17:36:45
34,fifo,34,7b61d112-09db-467a-93f7-ccdc65544379,1780594596.2295,1780594605.4921,9262.5548839569,2026-06-04 17:36:45,2026-06-04 17:36:45
35,fifo,35,de804483-5950-4ed7-b63d-16ed92b519d1,1780594596.376,1780594605.8569,9480.9529781342,2026-06-04 17:36:45,2026-06-04 17:36:45
36,fifo,36,3bfb2e7c-f27f-4755-a6ba-1f8a06df3a4a,1780594596.5251,1780594606.1718,9646.7490196228,2026-06-04 17:36:46,2026-06-04 17:36:46
37,fifo,37,8bea22c8-b735-49e9-b975-07b2d1d886dc,1780594596.6744,1780594606.5019,9827.5079727173,2026-06-04 17:36:46,2026-06-04 17:36:46
38,fifo,38,c22302f7-ccc3-45ac-88a1-8318132ea43d,1780594596.8211,1780594606.8213,10000.207185745,2026-06-04 17:36:46,2026-06-04 17:36:46
39,fifo,39,1849c670-da46-479a-ac6a-779e4cc22813,1780594596.9666,1780594607.291,10324.379920959,2026-06-04 17:36:47,2026-06-04 17:36:47
40,fifo,40,cd6ed680-7db9-40c7-8ff1-4381d8301594,1780594597.1103,1780594607.7017,10591.418027878,2026-06-04 17:36:47,2026-06-04 17:36:47
41,fifo,41,69bb344a-48fe-47fb-8698-60019da35f73,1780594597.2559,1780594608.112,10856.07790947,2026-06-04 17:36:48,2026-06-04 17:36:48
42,fifo,42,06794d09-7d46-48e5-ade9-1970692dc767,1780594597.4593,1780594608.4294,10970.164060593,2026-06-04 17:36:48,2026-06-04 17:36:48
43,fifo,43,f66a04e3-8955-41e4-90a7-8a47a8f7493d,1780594597.6639,1780594608.7564,11092.512130737,2026-06-04 17:36:48,2026-06-04 17:36:48
44,fifo,44,b182e6a0-1842-4283-9e78-f972c3a2ac67,1780594597.8711,1780594609.1354,11264.352083206,2026-06-04 17:36:49,2026-06-04 17:36:49
45,fifo,45,37c0d68a-e0c6-4fb0-90c7-ca2dc5a734da,1780594598.0719,1780594609.5447,11472.787857056,2026-06-04 17:36:49,2026-06-04 17:36:49
46,fifo,46,ba55eac6-89a1-4218-a01e-6bece9d6bb2a,1780594598.2771,1780594609.9546,11677.530050278,2026-06-04 17:36:49,2026-06-04 17:36:49
47,fifo,47,18579144-13fe-40e9-8d68-b2b1202ddb41,1780594598.4824,1780594610.3622,11879.767894745,2026-06-04 17:36:50,2026-06-04 17:36:50
48,fifo,48,2ad66ee4-122c-4618-b9e2-f676c3ef936c,1780594598.6269,1780594610.7735,12146.627902985,2026-06-04 17:36:50,2026-06-04 17:36:50
49,fifo,49,f753275e-d443-486c-8e53-651ac6e8ac5b,1780594598.7808,1780594611.1825,12401.724100113,2026-06-04 17:36:51,2026-06-04 17:36:51
50,fifo,50,1b27ae50-0198-4998-b883-37e2906ec6cb,1780594598.929,1780594611.5938,12664.798974991,2026-06-04 17:36:51,2026-06-04 17:36:51
51,fifo,51,5c487f4a-0a40-459f-9324-49a032467d7b,1780594599.0805,1780594611.9193,12838.773012161,2026-06-04 17:36:51,2026-06-04 17:36:51
52,fifo,52,30672589-131b-457c-bdca-0238ecac466e,1780594599.2321,1780594612.2223,12990.28301239,2026-06-04 17:36:52,2026-06-04 17:36:52
53,fifo,53,8e4006a3-de0b-4161-9b1d-fee071c2f72c,1780594599.3818,1780594612.6168,13234.957933426,2026-06-04 17:36:52,2026-06-04 17:36:52
54,fifo,54,45d9ddbe-0820-42c9-ae82-f0d6897d94ab,1780594599.5327,1780594613.026,13493.29996109,2026-06-04 17:36:53,2026-06-04 17:36:53
55,fifo,55,ea8e1576-8e46-45c2-ac50-a8a3ab8826c5,1780594599.6779,1780594613.4357,13757.798910141,2026-06-04 17:36:53,2026-06-04 17:36:53
56,fifo,56,5753f623-86d3-4465-a87d-a90e1b940328,1780594599.8239,1780594613.8442,14020.294904709,2026-06-04 17:36:53,2026-06-04 17:36:53
57,fifo,57,a4b2c2dd-9f6d-4143-9d30-5a8d02c0d7e3,1780594600.0177,1780594614.2555,14237.792015076,2026-06-04 17:36:54,2026-06-04 17:36:54
58,fifo,58,0b63df72-7653-4b67-aad8-cc5e0bbb47ae,1780594600.2234,1780594615.0882,14864.852905273,2026-06-04 17:36:55,2026-06-04 17:36:55
59,fifo,59,6f934766-1fc9-43b7-8f99-d1b79b3ad676,1780594600.4291,1780594615.4828,15053.675889969,2026-06-04 17:36:55,2026-06-04 17:36:55
60,fifo,60,77457797-2fbb-4b3c-8fd8-e809361e5d00,1780594600.676,1780594615.8943,15218.2970047,2026-06-04 17:36:55,2026-06-04 17:36:55
61,fifo,61,afacb9b7-9733-4412-94e2-2ec09918efa7,1780594600.8369,1780594616.3034,15466.54009819,2026-06-04 17:36:56,2026-06-04 17:36:56
62,fifo,62,50444e0c-d719-4b76-b0c4-72f16ef762e8,1780594600.9894,1780594616.7114,15721.992015839,2026-06-04 17:36:56,2026-06-04 17:36:56
63,fifo,63,e1725492-2631-4c5a-96df-0d9b8f7e3586,1780594601.1396,1780594617.1346,15995.010852814,2026-06-04 17:36:57,2026-06-04 17:36:57
64,fifo,64,5f0d58a6-6a41-4a6d-b605-4e969874a53d,1780594601.349,1780594617.5327,16183.706998825,2026-06-04 17:36:57,2026-06-04 17:36:57
65,fifo,65,6d1515b9-2136-4ae5-bdc4-997c22e06e8c,1780594601.5544,1780594617.8597,16305.346012115,2026-06-04 17:36:57,2026-06-04 17:36:57
